Issue Title,Issue Description,Pull Number,Pull Description
[AMQ-7380] Upgrade to commons-pool2 2.8.0,,442,
[AMQ-7381] Upgrade to geronimo-transaction 3.1.4,,441,
[AMQ-7382] Upgrade to geronimo-jacc_1.1_spec 1.0.2,,440,
AMQ-7393 - Remove unused Selenium tests,,439,
[AMQ-7383] Upgrade to httpclient 4.5.11,,438,
[AMQ-7384] Upgrade to httpcore 4.4.13,,437,
[AMQ-7385] Upgrade to shiro 1.5.0,,436,
[AMQ-7386] Upgrade to Tomcat 9.0.30,,435,
[AMQ-7392] Upgrade to Shiro 1.5.0,,434,
[AMQ-7387] Upgrade to XBean 4.15,,433,
AMQ-7390 - Update Jetty to 9.4.26.v20200117,,432,
AMQ-7142 - Inserting Bouncy Castle Provider Early in Java Security Pr…,…ovider Chain Breaks KeyStore Loading,431,…ovider Chain Breaks KeyStore Loading
[AMQ-7389] Upgrade to jasypt 1.9.3,,430,
AMQ-7231 - Fix XSS in WebConsole,,429,
AMQ-7376 - Use correct type for collections retrieval,,428,
AMQ-7373 - Updating Jolokia,,427,
AMQ-7375 - Update Spring,,426,
AMQ-7357 - Update Pax URL,,425,
"AMQ-5503: Improve initscript, reintegrate changes",https://issues.apache.org/jira/browse/AMQ-5503,424,https://issues.apache.org/jira/browse/AMQ-5503
Stop failed timer task from breaking timers.,"Very interested to see whether this PR is considered to be useful...

At my current client, we came across the problem that for some reason (that we don't understand yet) a micro-service with a connection to the broker via the activemq-client would get in a state where every 5 seconds it would report a failure to connect to the broker with the reason being: _IllegalStateException: Timer already cancelled_.  

There are several examples on the internet of this problem occurring but I've not found an actual solution to the problem, or something that explains what the underlying cause is.

After much digging, I've come to think that the basic cause of the problem is in `java.util.Timer`.  Tasks controlled by a timer should never throw exceptions because, if they do, the timer then becomes unusable.  What I think is happening is that for some reason we have a task that is throwing an exception.  However, this exception gets masked by the behaviour of the Timer; and, then, the Timer just continues ad-infinitum with IllegalStateExceptions every five seconds.

The change I've made here is simply to put try/catch into the SchedulerTimerTask so the exception from the failed underlying task can be reported; and so that the timer does not actually break (maybe the next invocation of the underlying task will work fine if it were, for example, to be due to a connection failure or something else intermittent).

In java.util.Timer there is this code:
```
    public void run() {
        try {
            mainLoop();
        } finally {
            // Someone killed this Thread, behave as if Timer cancelled
            synchronized(queue) {
                newTasksMayBeScheduled = false;
                queue.clear();  // Eliminate obsolete references
            }
        }
    }
```

Interesting comment!  Any exception in the mainLoop() kills the Timer; note that the mainLoop() does nothing itself to catch exceptions.

This problem has been noted elsewhere, for example: https://bugs.eclipse.org/bugs/show_bug.cgi?id=394215",423,"Very interested to see whether this PR is considered to be useful...

At my current client, we came across the problem that for some reason (that we don't understand yet) a micro-service with a connection to the broker via the activemq-client would get in a state where every 5 seconds it would report a failure to connect to the broker with the reason being: _IllegalStateException: Timer already cancelled_.  

There are several examples on the internet of this problem occurring but I've not found an actual solution to the problem, or something that explains what the underlying cause is.

After much digging, I've come to think that the basic cause of the problem is in `java.util.Timer`.  Tasks controlled by a timer should never throw exceptions because, if they do, the timer then becomes unusable.  What I think is happening is that for some reason we have a task that is throwing an exception.  However, this exception gets masked by the behaviour of the Timer; and, then, the Timer just continues ad-infinitum with IllegalStateExceptions every five seconds.

The change I've made here is simply to put try/catch into the SchedulerTimerTask so the exception from the failed underlying task can be reported; and so that the timer does not actually break (maybe the next invocation of the underlying task will work fine if it were, for example, to be due to a connection failure or something else intermittent).

In java.util.Timer there is this code:
```
    public void run() {
        try {
            mainLoop();
        } finally {
            // Someone killed this Thread, behave as if Timer cancelled
            synchronized(queue) {
                newTasksMayBeScheduled = false;
                queue.clear();  // Eliminate obsolete references
            }
        }
    }
```

Interesting comment!  Any exception in the mainLoop() kills the Timer; note that the mainLoop() does nothing itself to catch exceptions.

This problem has been noted elsewhere, for example: https://bugs.eclipse.org/bugs/show_bug.cgi?id=394215"
[AMQ-7351] Update to Apache pom parent 21,,422,
AMQ-7349 - Update some javascript libraries,I tested the webconsole and the examples that were changed.,421,I tested the webconsole and the examples that were changed.
AMQ-7291 initialize writing to body not needed to set property,"Unable to write property when readOnlyProperties=false, but readOnlyBody=true",420,"Unable to write property when readOnlyProperties=false, but readOnlyBody=true"
AMQ-7348 - Update Apache Shiro,,419,
[AMQ-7329] Fix exclusion in activemq-osgi,,418,
[AMQ-7008] Add index on messages table to speed up browsing,,417,
[AMQ-7345] Upgrade to jackson-databind 2.9.10.1,,416,
[AMQ-7310] Upgrade to Tomcat API 9.0.27,,415,
[AMQ-7252] Upgrade to Velocity 2.1,,414,
[AMQ-7303] Limit trace to SecurityException in the authentication broker,,413,
[AMQ-7320] Upgrade to Jackson 2.10.1,,412,
AMQ-7339 - Fix possible XSS attack in the HttpTunnelServlet,,411,
[AMQ-7327] Use maxFrameSize to limit HTTP content length,,410,
Update owasp plugin (and enable it to run correctly),"Currently, the owasp plugin doesn't run correctly due to some system scope failures.",409,"Currently, the owasp plugin doesn't run correctly due to some system scope failures."
[AMQ-7321] Reduce the number of messages in MQTT SSL offline test to limit timing issue,,408,
[AMQ-7333] Upgrade to Camel 2.24.2,,407,
[AMQ-7332] Upgrade to ant 1.10.7,,406,
[AMQ-7331] Upgrade to commons-daemon 1.2.2,,405,
[AMQ-7324] Upgrade to commons-dbcp2 2.7.0 and commons-pool2 2.7.0,,404,
[AMQ-7330] Upgrade to Jetty 9.4.22.v20191022,,403,
[AMQ-7325] Upgrade to Derby 10.15.1.3,,402,
[AMQ-7323] Upgrade to rome 1.12.2,,401,
AMQ-7322 - Add HTTPOnly flag to the webconsole + REST API Cookies,We should add the HTTPOnly flag to the webconsole + REST API Cookies,400,We should add the HTTPOnly flag to the webconsole + REST API Cookies
AMQ-7130 Update AMQ doap,https://issues.apache.org/jira/browse/AMQ-7130 is caused by the fact that our doap JIRA link is incorrect. Once this PR is merged then https://projects.apache.org/project.html?activemq will need to be updated to point to git instead of svn.,399,https://issues.apache.org/jira/browse/AMQ-7130 is caused by the fact that our doap JIRA link is incorrect. Once this PR is merged then https://projects.apache.org/project.html?activemq will need to be updated to point to git instead of svn.
Remove out-of-bounds index comparison,,398,
"Remove unused import of ""time""","Remove unused import to give readability and an easier code maintenance 

Signed-off-by: Lucca Scarano <lucca.scarano@hotmail.com>",397,"Remove unused import to give readability and an easier code maintenance 

Signed-off-by: Lucca Scarano <lucca.scarano@hotmail.com>"
AMQ-7319 - Update Jackson to 2.9.10,,396,
AMQ-7312 virtualSelectorCacheBrokerPlugin addConsumer issue,"See details on https://issues.apache.org/jira/browse/AMQ-7312

On ""browse"" action in AMQ console, a consumer is added on related queue.
When virtualSelectorCacheBrokerPlugin is activated, ""addConsumer"" method add a 'TRUE' selector on that queue that disable previous cached selector.

Could you please merge that PR on next release ?",395,"See details on https://issues.apache.org/jira/browse/AMQ-7312

On ""browse"" action in AMQ console, a consumer is added on related queue.
When virtualSelectorCacheBrokerPlugin is activated, ""addConsumer"" method add a 'TRUE' selector on that queue that disable previous cached selector.

Could you please merge that PR on next release ?"
Improve activemq init JAVACMD auto detection,"If `JAVACMD` is set to `auto` (the default from the `env` file) and the current working directory contains a directory named `auto` (and the `auto` directory is executable, which directories normally are), the `activemq` init script will incorrectly detect the `auto` directory as the `java` binary thus leaving `JAVACMD` set to `auto` which is incorrect and will fail to execute the Java VM.

To fix this, in the second attempt to detect the `java` binary, repeat the tests for a zero-length `JAVACMD` or a `JAVACMD` equal to `auto` before testing whether `JAVACMD` does not exist or is not executable.  This is necessary because when the length of `JAVA_HOME` is zero, the first attempt to detect the location of the `java` binary will not set `JAVACMD` (so it will still be `auto` when it reaches the second auto-detection attempt, and since the `auto` directory is executable, the `[ ! -x ""$JAVACMD"" ]` test will evaluate to false).

A real-world example is running the `activemq` init script as a `systemd` service where the current working directory for the `activemq` init script ends up being the root of the file system (i.e., `/`) and an NFS automounter is being used such that `/auto` exists and is a directory (and is executable).

To reproduce the problem from a Bourne-style shell:

```
$ unset JAVA_HOME
$ which java
/usr/bin/java
$ cd /tmp
$ mkdir activemq-javacmd-auto-test
$ cd activemq-javacmd-auto-test
$ mkdir auto
$ export ACTIVEMQ_HOME=/tmp/activemq-javacmd-auto-test
$ /usr/local/bin/activemq start | grep 'INFO: Using java'
INFO: Using java 'auto'
```

The expected result is that the `INFO` line says:

```
INFO: Using java '/usr/bin/java'
```",394,"If `JAVACMD` is set to `auto` (the default from the `env` file) and the current working directory contains a directory named `auto` (and the `auto` directory is executable, which directories normally are), the `activemq` init script will incorrectly detect the `auto` directory as the `java` binary thus leaving `JAVACMD` set to `auto` which is incorrect and will fail to execute the Java VM.

To fix this, in the second attempt to detect the `java` binary, repeat the tests for a zero-length `JAVACMD` or a `JAVACMD` equal to `auto` before testing whether `JAVACMD` does not exist or is not executable.  This is necessary because when the length of `JAVA_HOME` is zero, the first attempt to detect the location of the `java` binary will not set `JAVACMD` (so it will still be `auto` when it reaches the second auto-detection attempt, and since the `auto` directory is executable, the `[ ! -x ""$JAVACMD"" ]` test will evaluate to false).

A real-world example is running the `activemq` init script as a `systemd` service where the current working directory for the `activemq` init script ends up being the root of the file system (i.e., `/`) and an NFS automounter is being used such that `/auto` exists and is a directory (and is executable).

To reproduce the problem from a Bourne-style shell:

```
$ unset JAVA_HOME
$ which java
/usr/bin/java
$ cd /tmp
$ mkdir activemq-javacmd-auto-test
$ cd activemq-javacmd-auto-test
$ mkdir auto
$ export ACTIVEMQ_HOME=/tmp/activemq-javacmd-auto-test
$ /usr/local/bin/activemq start | grep 'INFO: Using java'
INFO: Using java 'auto'
```

The expected result is that the `INFO` line says:

```
INFO: Using java '/usr/bin/java'
```"
maven-compiler-plugin 3.8.1,"Release notes about version 3.8.1:
https://blogs.apache.org/maven/entry/apache-maven-compiler-plugin-version1

Release notes about version 3.8.0:
https://blogs.apache.org/maven/entry/apache-maven-compiler-plugin-version
",393,"Release notes about version 3.8.1:
https://blogs.apache.org/maven/entry/apache-maven-compiler-plugin-version1

Release notes about version 3.8.0:
https://blogs.apache.org/maven/entry/apache-maven-compiler-plugin-version
"
AMQ-7295 - Update JTA spec,,392,
AMQ-7292 - WebConsole problem due to missing ecj jar,,391,
AMQ-7289 - Fix failing HTTP tests,,390,
AMQ-7275 - Update Commons BeanUtils,,389,
[AMQ-7249] Upgrade to Scala 2.13.0,,388,
[AMQ-7249] Upgrade to Jetty 9.4.19.v20190610,,387,
[AMQ-7249] Upgrade to Camel 2.24.1,,386,
AMQ-7271 - Update XBean,,385,
AMQ-7268 - Update Zookeeper version,,384,
[AMQ-7258] Update spring.schemas in activemq-osgi,,383,
AMQ-7266 - Update Jackson databind to 2.9.9.3,"We should update Jackson databind to 2.9.9.3. Two new CVEs are issued for 2.9.9.2 (and a bug fix in 2.9.9.3):

https://www.cvedetails.com/cve/CVE-2019-14379

https://www.cvedetails.com/cve/CVE-2019-14439",382,"We should update Jackson databind to 2.9.9.3. Two new CVEs are issued for 2.9.9.2 (and a bug fix in 2.9.9.3):

https://www.cvedetails.com/cve/CVE-2019-14379

https://www.cvedetails.com/cve/CVE-2019-14439"
[AMQ-7254] Fix OSGi headers,,381,
[AMQ-7253] Upgrade to commons-dbcp2 2.6.0 and commons-pool 2.6.2,,380,
"[AMQ-7249] jetty, scala and camel upgrades for vulnerabilities fixes",,379,
AMQ-7247 - Update maven plugin API + Pax URL versions,,378,
AMQ-7244 - Update Apache Directory + FileServer,,377,
AMQ-7259 - Update HTTPClient and replace deprecated calls,,376,
AMQ-7242 - REST Content Type fixes,,375,
"AMQ-7257 - Remove default ""secret"" password from the LDAPAuthorizationMap",It's not good security practice to use default passwords.,374,It's not good security practice to use default passwords.
AMQ-7260 - Updating Shiro plus some other minor updates,,373,
AMQ-7261 - Make ActiveMQConfiguration.loadClass private,"This is a trivial PR to make some class loading functionality private to ActiveMQConfiguration, as it's not used anywhere else.",372,"This is a trivial PR to make some class loading functionality private to ActiveMQConfiguration, as it's not used anywhere else."
AMQ-7262 - Updating Karaf + also the surefire maven plugin,,371,
AMQ-7239 - Update Jettison,,370,
AMQ-7237 - Update Spring range for Karaf,,369,
AMQ-7235 - Remove hard-coded credentials from OsgiConfiguration,,368,
AMQ-7230 - Add support for regex based certificate authentication,,367,
AMQ-7419 - Remove dependency activemq-http and activemq-stomp,"This PR moves `XStreamSupport` to `activemq-client`. 

Currently this sits in `activemq-stomp`, thus requiring the ActiveMQ HTTP client to require `activemq-stomp` module on its class path, even if the client isn't using stomp.",366,"This PR moves `XStreamSupport` to `activemq-client`. 

Currently this sits in `activemq-stomp`, thus requiring the ActiveMQ HTTP client to require `activemq-stomp` module on its class path, even if the client isn't using stomp."
AMQ-7149 Remove dependency activemq-http and activemq-stomp,"This PR moves `XStreamSupport` to `activemq-client`. 

Currently this sits in `activemq-stomp`, thus requiring the ActiveMQ HTTP client to require `activemq-stomp` module on its class path, even if the client isn't using stomp.",365,"This PR moves `XStreamSupport` to `activemq-client`. 

Currently this sits in `activemq-stomp`, thus requiring the ActiveMQ HTTP client to require `activemq-stomp` module on its class path, even if the client isn't using stomp."
AMQ-7221 - Delete Scheduled messages causes ActiveMQ create/write a u…,…nnecessary huge transaction file,364,…nnecessary huge transaction file
AMQ-7219 - ActiveMQ replays journal file on a clean/unclean shutdown …,…with transacted session + Non persistent Messages,363,…with transacted session + Non persistent Messages
